Response ID,Date submitted,Last page,Start language,Seed,Which age group do you belong to?,How many years of professional experience do you have in IT/software engineering?,Which continent do you live on?,What is your current country of residence?,What is your current country of residence?,What is your current country of residence?,What is your current country of residence?,What is your current country of residence?,Which of the following best describes your current role in the organization?,Which of the following best describes your current role in the organization?  [Other],Which of the following organizational types best describes your organization?,In which application domain do you currently primarily work?,In which application domain do you currently primarily work?  [Other],"We consider Digital Sustainability an umbrella term for two aspects: Sustainable Software and Sustainable by Software.  Sustainable Software concerns the sustainability of digital solutions in terms of their impact on environmental, economic, technical, social, and individual dimensions, including carbon footprint (Green IT) and process resources.  Sustainable by Software describes digital solutions designed to achieve positive sustainability impacts to help individuals and organizations reach sustainability goals, such as such as the United Nations Sustainable Development Goals (SDGs) more effectively.  Have you heard of this or a similar definition of digital sustainability before? ","How frequently do you encounter (e.g., coming across or taking part in) discussions about digital sustainability in your professional environment? ","How frequently do you encounter (e.g., coming across or taking part in) discussions about digital sustainability in your professional environment?   [Other]",Have you participated in one or more training or educational programs on digital sustainability?,What are the reasons you haven’t participated in a training or educational program on digital sustainability before?  [I was not aware such programs existed],What are the reasons you haven’t participated in a training or educational program on digital sustainability before?  [My organization does not offer such programs],What are the reasons you haven’t participated in a training or educational program on digital sustainability before?  [I have not had the opportunity to attend],What are the reasons you haven’t participated in a training or educational program on digital sustainability before?  [I don’t see the need for such training],What are the reasons you haven’t participated in a training or educational program on digital sustainability before?  [The cost is too high],What are the reasons you haven’t participated in a training or educational program on digital sustainability before?  [Other],How many times training(s) or educational program(s) on digital sustainability did you participate in? ,"Did you participate in the training(s) or educational program(s) in your private capacity (i.e., you paid for it and participated out of personal interest)?",Please tell us a little about the training or educational programs on digital sustainability you participated in.,Are you satisfied with the number of trainings or educational programs you participated in? ,What are the reasons you haven’t participated in more training or educational programs on digital sustainability?   [ I was not aware such programs existed],What are the reasons you haven’t participated in more training or educational programs on digital sustainability?   [My organization does not offer such programs],What are the reasons you haven’t participated in more training or educational programs on digital sustainability?   [I have not had the opportunity to attend],What are the reasons you haven’t participated in more training or educational programs on digital sustainability?   [I don’t see the need for such training],What are the reasons you haven’t participated in more training or educational programs on digital sustainability?   [The cost is too high],What are the reasons you haven’t participated in more training or educational programs on digital sustainability?   [Other],Does your organization have specific digital sustainability goals or benchmarks for software development projects?,"Does your organization have a dedicated sustainability or Corporate Social Responsibility (CSR) expert, team or department?",Does your organization incorporate sustainable development practices?,Do different departments in your organization coordinate on sustainability for software development projects?,"Which dimensions of sustainability are actively considered in your organization's software development projects?  [Environmental sustainability (e.g., resource efficiency of energy/water/..., carbon footprint)]","Which dimensions of sustainability are actively considered in your organization's software development projects?  [Social sustainability (e.g., role of community, shared values, working conditions, and well-being)]","Which dimensions of sustainability are actively considered in your organization's software development projects?  [Individual sustainability (e.g., health, competence, access to services)]","Which dimensions of sustainability are actively considered in your organization's software development projects?  [Economic sustainability (e.g., cost efficiency, economic viability)]","Which dimensions of sustainability are actively considered in your organization's software development projects?  [Technical sustainability (e.g., maintainability, scalability)]",Which dimensions of sustainability are actively considered in your organization's software development projects?  [Other],Does your organization report on sustainability practices? ,Does your organization offer training or resources to employees on sustainable software development practices?,Can you tell us a little about the training or resources your organization offers? ,What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [Lack of awareness about the availability of such training],What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [Lack of understanding about the need for such training],What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [No demand or interest from employees],What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [Limited budget or resources for training programs],What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [Sustainability is (perhaps) not a priority for the organization],What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [Not sure],What might be the reasons your organization does not offer any or more training or resources on the design or development of sustainable digital solutions?  [Other],How often is the sustainability of your digital solutions an explicit requirement of the customer or the users?,Why do you think that your customers and users have not asked explicitly to build sustainable digital solutions?,Do you incorporate digital sustainability considerations in your role-specific tasks? ,What drives you to incorporate digital sustainability in your role-related tasks?  [Organizational policies ],What drives you to incorporate digital sustainability in your role-related tasks?  [Personal beliefs ],What drives you to incorporate digital sustainability in your role-related tasks?  [Client requirements ],What drives you to incorporate digital sustainability in your role-related tasks?  [User requirements],What drives you to incorporate digital sustainability in your role-related tasks?  [Legal requirements ],What drives you to incorporate digital sustainability in your role-related tasks?  [Other],"Which sustainability dimensions do you consider in your role-specific tasks?   [Environmental sustainability (e.g., resource efficiency of energy/water/…, carbon footprint)]","Which sustainability dimensions do you consider in your role-specific tasks?   [Social sustainability (e.g., the role of community, shared values, working conditions, and well-being)  ]","Which sustainability dimensions do you consider in your role-specific tasks?   [Individual sustainability (e.g., health, competence, access to services)]","Which sustainability dimensions do you consider in your role-specific tasks?   [Economic sustainability (e.g., cost efficiency, economic viability)]","Which sustainability dimensions do you consider in your role-specific tasks?   [Technical sustainability (e.g., maintainability, scalability)]",Which sustainability dimensions do you consider in your role-specific tasks?   [Other],"Are there specific tools, software, or frameworks that help you incorporate sustainability into your tasks? (E.g., gathering and managing requirements, writing sustainability-focused tests, optimizing code for less energy consumption.)","Can you name the tools, software, and/or frameworks, and tell us how and for what you use them? ","What hinders you from incorporating sustainability in your role-specific tasks?   [Lack of personal interest (e.g., no incentive to make the effort to consider sustainability)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Lack of knowledge or awareness (e.g., not knowing enough about sustainability impact or best practices)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Limited resources or budget (e.g., financial constraints, insufficient tools or technology)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Financial constraints (e.g., limited budget)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Insufficient time or competing priorities (e.g., pressing deadlines, other projects taking precedence)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Lack of organizational or leadership support (e.g., limited buy-in from management, inadequate policy frameworks)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Complexity or uncertainty of sustainability solutions (e.g., difficulty measuring impact or navigating standards)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Cultural or social barriers (e.g., resistance to change, misalignment with organizational culture)]","What hinders you from incorporating sustainability in your role-specific tasks?   [Resistance from the stakeholders, such as clients and customers]",What hinders you from incorporating sustainability in your role-specific tasks?   [Other],"Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [Environmental sustainability (e.g., resource efficiency of energy/water/…, carbon footprint)]","Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [Social sustainability (e.g., role of community, shared values)]","Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [Individual sustainability (e.g., health, competence, access to services)]","Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [Economic sustainability (e.g., cost efficiency, economic viability)]","Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [Technical sustainability (e.g., maintainability, scalability)]",Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [I have sufficient knowledge and tools to effectively address all five sustainability dimensions],Which sustainability dimension(s) do you feel you lack sufficient knowledge or tools to effectively address?  [Other],What additional support or resources would help you integrate digital sustainability into your work?  [Theoretical knowledge (self-study learning material)],What additional support or resources would help you integrate digital sustainability into your work?  [Tutorials (co-present or online training)],What additional support or resources would help you integrate digital sustainability into your work?  [Curricula (educational programs)],What additional support or resources would help you integrate digital sustainability into your work?  [Practical knowledge (how-to's)],"What additional support or resources would help you integrate digital sustainability into your work?  [Positive case studies (real-world examples demonstrating benefits, including financial value)]","What additional support or resources would help you integrate digital sustainability into your work?  [Structures (frameworks, definitions, standards)]","What additional support or resources would help you integrate digital sustainability into your work?  [Tools (assessment checklists, creativity methods)]",What additional support or resources would help you integrate digital sustainability into your work?  [I do not want to integrate more digital sustainability into my work],What additional support or resources would help you integrate digital sustainability into your work?  [Other],SUPER POSITIVE,SUPER NEGATIVE,YES-RATIO,Familiar-Definition,Familiar-Discussion,Familiar-Incorpor,AWARENESS/FAMILIARITY SCORE,AWARENESS/FAMILIARITY SCORE,Does your organization have specific digital sustainability goals or benchmarks for software development projects?,"Does your organization have a dedicated sustainability or Corporate Social Responsibility (CSR) expert, team or department?",Does your organization incorporate sustainable development practices?,Does your organization report on sustainability practices? ,Does your organization offer training or resources to employees on sustainable software development practices?,ORGANIZATIONAL SCORE,ORGANIZATIONAL SCORE,Region,Experience,Role,Orga,Domain
29,01/01/1980 00:00,4,en,1941877023,29 - 44,11 – 20 years,Europe, Germany,,,,,Requirements Engineer / Business Analyst / Product Owner,,Industry - Medium-sized enterprise (50 – 249 employees),Healthcare and Medical Technology,,Yes,Never,,No,Yes,Yes,Yes,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,No,No,,Yes,No,No,Yes,Yes,No,,Never,,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,N/A,,No,No,Yes,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,Yes,No,,17,25,0.404761905,1,0,0,1,Knowledge without acting,0,0,0,0,0,0,No sustainability,DACH,11 to 20,RE,Other organizations,Other domain
30,01/01/1980 00:00,4,en,69149496,45 - 60,More than 20 years,Europe, Austria,,,,,Requirements Engineer / Business Analyst / Product Owner,,Industry - Large enterprise (at least 250 employees),"Technology, Software, and IT Consulting",,Yes,Every few months or less,,No,No,Yes,Yes,Yes,No,,,,,,N/A,N/A,N/A,N/A,N/A,,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,No,,No,No,Yes,No,Yes,No,,"Rarely, but it has happened",,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,N/A,,No,No,Yes,No,No,Yes,No,No,Yes,,Yes,No,Yes,Yes,No,No,,Yes,Yes,No,Yes,No,Yes,No,No,,18,24,0.428571429,1,0.1,0,1.1,Knowledge without acting,0,1,0,1,0,2,Two dimensions,DACH,>20,RE,Large company,Tech
31,01/01/1980 00:00,4,en,92260623,29 - 44,6 – 10 years,Europe, Germany,,,,,Other,Senior UX Designer,Industry - Medium-sized enterprise (50 – 249 employees),"Technology, Software, and IT Consulting",,Yes,Weekly,,Yes,N/A,N/A,N/A,N/A,N/A,,1,Yes,SUX network Workshop,No,No,No,Yes,No,No,Time and focus parallel to project work,No,No,Yes,No,Yes,Yes,Yes,No,No,,No,No,,No,No,No,Yes,Yes,No,,"Rarely, but it has happened",,Yes,Yes,Yes,No,Yes,No,,Yes,No,No,No,Yes,,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,Yes,No,No,No,,No,Yes,Yes,Yes,Yes,No,Yes,No,,24,28,0.461538462,1,0.7,1,2.7,High awareness,0,0,1,0,0,1,Practice-oriented,DACH,0 to 10,Tech,Other organizations,Tech
32,01/01/1980 00:00,4,en,903711012,45 - 60,More than 20 years,Europe, Germany,,,,,Team Lead / Project Manager,,Industry - Medium-sized enterprise (50 – 249 employees),Automotive and Vehicle Technology,,Yes,Monthly,,No,No,Yes,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,No,,Yes,Not sure,,Yes,No,Yes,No,No,No,,For every project or digital solution,,Yes,No,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,No,No,No,No,No,Yes,,Yes,Yes,No,No,No,No,No,No,,23,24,0.489361702,1,0.3,1,2.3,Aware without discussing,1,1,1,1,0.5,4.5,Top performer,DACH,>20,Management,Other organizations,Other domain
33,01/01/1980 00:00,4,en,683870968,45 - 60,More than 20 years,Europe, Germany,,,,,Other,Ux Professional,Industry - Large enterprise (at least 250 employees),"Technology, Software, and IT Consulting",,Yes,Monthly,,No,No,No,Yes,No,Yes,,,,,,N/A,N/A,N/A,N/A,N/A,,No,Yes,Not sure,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Not sure,,No,No,Yes,Yes,Yes,Yes,,Never,,Yes,No,Yes,No,No,No,,Yes,No,No,Yes,Yes,,Not sure,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,25,16,0.609756098,1,0.3,1,2.3,Aware without discussing,0,1,0.5,1,0.5,3,Two dimensions,DACH,>20,Tech,Large company,Tech
37,01/01/1980 00:00,4,en,195057580,29 - 44,11 – 20 years,Europe, Germany,,,,,DevOps Engineer,,Industry - Small enterprise (10 – 49 employees),"Technology, Software, and IT Consulting",,No,Every few months or less,,No,Yes,Yes,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,,Not sure,No,Not sure,N/A,N/A,N/A,N/A,N/A,N/A,,Not sure,No,,Yes,Yes,No,No,No,No,,,,No,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,N/A,,Yes,Yes,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,,14,25,0.358974359,0,0.1,0,0.1,No awareness,0.5,0,0.5,0.5,0,1.5,Unclear communication,DACH,11 to 20,Tech,Other organizations,Tech
40,01/01/1980 00:00,4,en,121431605,45 - 60,More than 20 years,Europe, Germany,,,,,Developer,,Industry - Large enterprise (at least 250 employees),"Technology, Software, and IT Consulting",,Yes,Weekly,,Yes,N/A,N/A,N/A,N/A,N/A,,1,No,Several talks and workshops when I joined a conference,Yes,No,No,No,Yes,No,,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,,Yes,Not sure,,No,No,No,No,No,Yes,,"Rarely, but it has happened",,Yes,No,Yes,No,No,No,,Yes,No,No,Yes,Yes,,Not sure,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,No,No,No,No,No,Yes,,No,No,No,Yes,Yes,No,No,No,,22,27,0.448979592,1,0.7,1,2.7,High awareness,1,1,1,1,0.5,4.5,Top performer,DACH,>20,Tech,Large company,Tech
43,01/01/1980 00:00,4,en,921656095,29 - 44,1 – 5 years,Europe, Germany,,,,,DevOps Engineer,,Industry - Small enterprise (10 – 49 employees),"Technology, Software, and IT Consulting",,No,Never,,No,Yes,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,,No,No,Yes,Yes,Yes,No,No,No,Yes,,No,No,,Yes,No,No,Yes,No,No,,For some projects or digital solutions,,Yes,No,Yes,No,Yes,No,,Yes,No,No,Yes,Yes,,Not sure,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,No,Yes,Yes,No,No,No,,Yes,No,No,Yes,No,No,Yes,No,,18,31,0.367346939,0,0,1,1,Acting without knowledge,0,0,1,0,0,1,Practice-oriented,DACH,0 to 10,Tech,Other organizations,Tech
44,01/01/1980 00:00,4,en,779647033,45 - 60,More than 20 years,Europe, Germany,,,,,Developer,,Industry - Large enterprise (at least 250 employees),"Technology, Software, and IT Consulting",,Yes,Weekly,,Yes,N/A,N/A,N/A,N/A,N/A,,3 - 5,No,"Some company internal trainings, Linux Foundation Trainings",Yes,Yes,No,No,No,No,,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,,Yes,Not sure,,No,No,No,Yes,No,No,,"Rarely, but it has happened","Lack of awareness, too less cost pressure",Yes,Yes,Yes,Yes,No,No,,Yes,No,No,No,Yes,,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,No,No,No,Yes,No,,No,No,No,Yes,No,Yes,Yes,No,,25,25,0.5,1,0.7,1,2.7,High awareness,1,1,1,1,0.5,4.5,Top performer,DACH,>20,Tech,Large company,Tech
45,01/01/1980 00:00,4,en,41233179,29 - 44,6 – 10 years,Europe, Germany,,,,,Team Lead / Project Manager,,Industry - Large enterprise (at least 250 employees),"Technology, Software, and IT Consulting",,Yes,Monthly,,Yes,N/A,N/A,N/A,N/A,N/A,,1,Yes,,No,No,Yes,Yes,No,No,,Yes,Yes,Not sure,N/A,N/A,N/A,N/A,N/A,N/A,,Not sure,Yes,,Yes,Yes,No,Yes,Yes,No,,"Rarely, but it has happened",,Yes,No,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,Yes,,Not sure,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,32,11,0.744186047,1,0.3,1,2.3,Aware without discussing,1,1,0.5,0.5,1,4,Three dimensions,DACH,0 to 10,Management,Large company,Tech
